rowid,AuthorGrp,PaperId,Year,ClassifierFamily,DataSetFamily,MetricFamily,MCC
1,1,50,2007,DecTree,NASA,Static,0.034810089
2,1,50,2007,Bayes,NASA,Static,0.059777279
3,1,50,2007,Bayes,NASA,Static,0.089948156
4,1,50,2007,Bayes,NASA,Static,0.096708821
5,1,50,2007,Bayes,NASA,Static,0.099462155
6,1,50,2007,DecTree,NASA,Static,0.150086163
7,1,50,2007,Bayes,NASA,Static,0.157077791
8,1,50,2007,Bayes,NASA,Static,0.170003168
9,1,50,2007,DecTree,NASA,Static,0.209208821
10,1,50,2007,DecTree,NASA,Static,0.217074963
11,1,50,2007,DecTree,NASA,Static,0.220669648
12,1,50,2007,DecTree,NASA,Static,0.237255152
13,1,50,2007,DecTree,NASA,Static,0.29272466
14,1,50,2007,DecTree,NASA,Static,0.342933801
15,1,50,2007,Bayes,NASA,Static,0.375458854
16,1,50,2007,DecTree,NASA,Static,0.387230372
17,1,98,2007,Bayes,NASA,Static,0.111432217
18,1,98,2007,Regression,NASA,Static,0.215248801
19,1,98,2007,Bayes,NASA,Static,0.242291942
20,1,98,2007,Regression,NASA,Static,0.284876506
21,1,98,2007,Bayes,NASA,Static,0.315979559
22,1,98,2007,Bayes,NASA,Static,0.355561698
23,1,98,2007,Regression,NASA,Static,0.494202909
24,1,98,2007,Regression,NASA,Static,0.510216967
25,1,121,2009,Bayes,WhiteGoods,Static,-0.13593728
26,1,121,2009,Bayes,ECLIP,Static,-0.016208914
27,1,121,2009,Bayes,WhiteGoods,Static,0.272268935
28,1,121,2009,Bayes,WhiteGoods,Static,0.321364994
29,1,121,2009,Bayes,WhiteGoods,Static,0.366810834
30,1,121,2009,Bayes,ECLIP,Static,0.382811929
31,1,121,2009,Bayes,ECLIP,Static,0.400022502
32,1,121,2009,Bayes,ECLIP,Static,0.40068568
33,1,121,2009,Bayes,WhiteGoods,Static,0.408495681
34,1,121,2009,Bayes,ECLIP,Static,0.416246612
35,1,121,2009,Bayes,ECLIP,Static,0.419023835
36,1,121,2009,Bayes,ECLIP,Static,0.428907859
37,1,121,2009,Bayes,ECLIP,Static,0.454638893
38,1,121,2009,Bayes,ECLIP,Static,0.526231623
39,1,121,2009,Bayes,ECLIP,Static,0.527523036
40,1,121,2009,Bayes,ECLIP,Static,0.564790147
41,1,121,2009,Bayes,ECLIP,Static,0.568389205
42,1,121,2009,Bayes,ECLIP,Static,0.569374512
43,1,121,2009,Bayes,ECLIP,Static,0.580320725
44,1,121,2009,Bayes,WhiteGoods,Static,0.580681656
45,1,121,2009,Bayes,ECLIP,Static,0.603375777
46,1,121,2009,Bayes,ECLIP,Static,0.606127074
47,1,121,2009,Bayes,ECLIP,Static,0.618348319
48,1,121,2009,Bayes,ECLIP,Static,0.640256606
49,1,121,2009,Bayes,ECLIP,Static,0.702767588
50,1,121,2009,Bayes,ECLIP,Static,0.718329053
51,1,121,2009,Bayes,ECLIP,Static,0.76506586
52,1,121,2009,Bayes,ECLIP,Static,0.783946798
53,1,153,2009,Bayes,ECLIP,Static,0.297781538
54,1,153,2009,Bayes,ECLIP,Static,0.302157508
55,1,153,2009,Bayes,ECLIP,Static,0.307144119
56,1,153,2009,Bayes,ECLIP,Static,0.32190225
57,1,153,2009,Bayes,ECLIP,Static,0.336530237
58,1,153,2009,Bayes,ECLIP,Static,0.356840574
59,1,153,2009,Bayes,ECLIP,Process,0.375223013
60,1,153,2009,Bayes,ECLIP,Process,0.439639762
61,1,153,2009,Bayes,ECLIP,Process,0.456228997
62,1,214,2009,Bayes,NASA,Static,0.112984927
63,1,214,2009,Bayes,NASA,Static,0.112984927
64,1,214,2009,Bayes,NASA,Static,0.143670878
65,1,214,2009,Bayes,NASA,Static,0.218719981
66,1,214,2009,Bayes,NASA,Static,0.271435626
67,1,214,2009,Bayes,NASA,Static,0.280536101
68,1,214,2009,Bayes,NASA,Static,0.30289253
69,1,214,2009,Bayes,NASA,Static,0.30866364
70,1,214,2009,Bayes,NASA,Static,0.332304648
71,1,214,2009,Bayes,NASA,Static,0.342813896
72,1,214,2009,Bayes,NASA,Static,0.475733279
73,1,214,2009,Bayes,NASA,Static,0.476325571
74,1,214,2009,Bayes,NASA,Static,0.497060117
75,1,214,2009,Bayes,NASA,Static,0.523229547
76,2,62,2007,Bayes,NASA,Static,0.106254852
77,2,62,2007,Bayes,NASA,Static,0.200248966
78,2,62,2007,Bayes,NASA,Static,0.256679619
79,2,62,2007,Bayes,NASA,Static,0.2574914
80,2,62,2007,Bayes,NASA,Static,0.278909933
81,2,62,2007,Bayes,NASA,Static,0.282542248
82,2,62,2007,Bayes,NASA,Static,0.466796787
83,2,62,2007,Bayes,NASA,Static,0.472302001
84,3,124,2008,ANN,NASA,Static,0.409552245
85,3,124,2008,Regression,NASA,Static,0.472007724
